24-05-31 09:22:42.791 [restartedMain] INFO  l.i.g.s.ShoeShopBackEndApplication - Starting ShoeShopBackEndApplication using Java 17.0.10 with PID 23740 (D:\GDSE-66\Second Semester\AAD\CourseWork\Shoe-shop-management-system\shoe-shop-back-end\target\classes started by isuru in D:\GDSE-66\Second Semester\AAD\CourseWork\Shoe-shop-management-system\shoe-shop-back-end)
24-05-31 09:22:42.793 [restartedMain] INFO  l.i.g.s.ShoeShopBackEndApplication - No active profile set, falling back to 1 default profile: "default"
24-05-31 09:22:42.841 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
24-05-31 09:22:42.842 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
24-05-31 09:22:43.583 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
24-05-31 09:22:43.675 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 84 ms. Found 7 JPA repository interfaces.
24-05-31 09:22:44.227 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
24-05-31 09:22:44.239 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
24-05-31 09:22:44.241 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
24-05-31 09:22:44.242 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
24-05-31 09:22:44.312 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
24-05-31 09:22:44.313 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1469 ms
24-05-31 09:22:44.424 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
